"order_id","customer_id","order_date","online_order","order_status"
1,2950,2017-02-25,False,Approved
2,3120,2017-05-21,True,Approved
3,402,2017-10-16,False,Approved
4,3135,2017-08-31,False,Approved
5,787,2017-10-01,True,Approved
6,2339,2017-03-08,True,Approved
7,1542,2017-04-21,True,Approved
8,2459,2017-07-15,False,Approved
9,1305,2017-08-10,False,Approved
10,3262,2017-08-30,True,Approved
11,1986,2017-01-17,False,Approved
12,2783,2017-01-05,True,Approved
13,1243,2017-02-26,True,Approved
14,2717,2017-09-10,False,Approved
15,247,2017-06-11,False,Approved
16,2961,2017-10-10,False,Approved
17,2426,2017-04-03,False,Approved
18,1842,2017-06-02,False,Approved
19,2268,2017-04-06,True,Approved
20,3002,2017-01-28,True,Approved
21,1582,2017-10-09,False,Approved
22,595,2017-06-29,True,Approved
23,2001,2017-04-08,True,Approved
24,515,2017-10-18,False,Approved
25,2822,2017-06-11,False,Approved
26,2596,2017-01-10,False,Approved
27,2666,2017-04-11,True,Approved
28,76,2017-12-23,False,Approved
29,3368,2017-10-13,True,Approved
30,1173,2017-03-15,False,Approved
31,2810,2017-09-05,True,Approved
32,3214,2017-02-18,False,Approved
33,1272,2017-03-20,False,Approved
34,2003,2017-02-28,True,Approved
35,2171,2017-08-20,False,Approved
36,3356,2017-07-07,False,Approved
37,1040,2017-01-09,False,Approved
38,2916,2017-12-06,False,Approved
39,427,2017-09-12,False,Approved
40,2448,2017-11-28,True,Approved
41,2570,2017-05-08,True,Approved
42,3398,2017-05-14,False,Approved
43,488,2017-03-17,False,Cancelled
44,165,2017-12-22,False,Approved
45,2787,2017-06-07,True,Approved
46,3053,2017-06-20,False,Approved
47,475,2017-05-07,True,Approved
48,1305,2017-06-10,True,Approved
49,1251,2017-06-17,False,Approved
50,3103,2017-05-10,False,Approved
51,3108,2017-03-24,False,Approved
52,857,2017-11-27,False,Approved
53,3455,2017-12-21,True,Approved
54,2549,2017-02-09,True,Approved
55,3140,2017-09-18,False,Approved
56,3406,2017-11-14,False,Approved
57,2294,2017-08-30,True,Approved
58,1031,2017-11-14,False,Approved
59,993,2017-02-15,True,Approved
60,3473,2017-12-18,False,Approved
61,1839,2017-02-24,False,Approved
62,1824,2017-12-18,True,Approved
63,368,2017-12-17,False,Approved
64,2000,2017-07-08,False,Approved
65,825,2017-05-16,True,Approved
66,3315,2017-02-23,True,Approved
67,75,2017-07-03,True,Approved
68,1498,2017-09-30,True,Approved
69,1612,2017-10-21,True,Approved
70,2192,2017-05-06,True,Approved
71,419,2017-01-03,False,Approved
72,3307,2017-05-09,True,Approved
73,2430,2017-07-23,False,Approved
74,1506,2017-01-21,True,Approved
75,1346,2017-06-20,False,Approved
76,927,2017-03-10,False,Approved
77,763,2017-06-02,False,Approved
78,2397,2017-11-07,False,Approved
79,102,2017-09-12,True,Approved
80,2884,2017-12-16,False,Approved
81,759,2017-10-07,True,Approved
82,773,2017-04-27,True,Approved
83,3398,2017-04-01,True,Approved
84,3297,2017-11-02,True,Approved
85,2434,2017-02-13,True,Approved
86,1861,2017-07-19,False,Approved
87,1233,2017-05-23,False,Approved
88,1390,2017-08-06,False,Approved
89,2682,2017-04-04,True,Approved
90,439,2017-08-15,True,Approved
91,1579,2017-04-15,True,Approved
92,2984,2017-07-25,True,Approved
93,3470,2017-11-28,True,Approved
94,1,2017-12-23,False,Approved
95,757,2017-02-26,False,Approved
96,1778,2017-02-21,False,Approved
97,211,2017-05-31,True,Approved
98,333,2017-06-23,"",Approved
99,32,2017-03-26,False,Approved
100,119,2017-07-31,False,Approved
101,2347,2017-07-27,False,Approved
102,2353,2017-04-14,False,Approved
103,788,2017-11-12,False,Approved
104,1468,2017-09-12,False,Approved
105,821,2017-10-26,False,Approved
106,2489,2017-02-15,False,Approved
107,2710,2017-12-22,False,Approved
108,947,2017-10-11,True,Approved
109,1335,2017-03-27,True,Approved
110,1076,2017-11-04,False,Approved
111,3320,2017-06-11,True,Approved
112,779,2017-10-09,False,Approved
113,3296,2017-06-07,True,Approved
114,455,2017-10-24,True,Approved
115,1779,2017-05-01,False,Approved
116,2703,2017-11-21,True,Approved
117,806,2017-03-24,False,Approved
118,22,2017-03-21,False,Approved
119,1591,2017-02-20,False,Approved
120,678,2017-06-16,False,Approved
121,50,2017-12-04,False,Approved
122,1038,2017-12-01,True,Approved
123,1453,2017-03-05,True,Approved
124,1339,2017-03-21,False,Approved
125,3382,2017-01-03,True,Approved
126,773,2017-04-01,False,Approved
127,2503,2017-03-16,True,Approved
128,1057,2017-02-26,False,Approved
129,1397,2017-06-05,False,Approved
130,2134,2017-09-04,False,Approved
131,2403,2017-01-18,True,Approved
132,1937,2017-09-28,False,Approved
133,1282,2017-09-02,True,Approved
134,2183,2017-05-09,False,Approved
135,1788,2017-10-17,False,Approved
136,1170,2017-04-25,True,Approved
137,431,2017-09-23,False,Approved
138,1940,2017-08-02,False,Approved
139,2073,2017-03-25,False,Cancelled
140,462,2017-01-01,False,Approved
141,2728,2017-12-22,False,Approved
142,2053,2017-12-25,False,Approved
143,2135,2017-01-26,True,Approved
144,1217,2017-12-20,False,Approved
145,2992,2017-06-07,True,Approved
146,3261,2017-04-06,True,Approved
147,2748,2017-04-25,True,Approved
148,3262,2017-01-13,False,Approved
149,788,2017-03-21,False,Approved
150,3067,2017-11-21,True,Approved
151,701,2017-11-11,False,Approved
152,648,2017-10-16,False,Approved
153,3286,2017-08-19,True,Approved
154,3383,2017-04-06,True,Approved
155,982,2017-11-04,True,Approved
156,676,2017-08-22,True,Approved
157,385,2017-09-15,True,Approved
158,1229,2017-03-01,True,Approved
159,3232,2017-08-16,False,Approved
160,3300,2017-08-27,False,Approved
161,2381,2017-07-10,False,Approved
162,371,2017-12-11,False,Approved
163,2519,2017-05-20,True,Approved
164,2264,2017-07-30,False,Approved
165,2637,2017-10-25,True,Approved
166,3262,2017-11-27,False,Approved
167,3177,2017-04-26,"",Approved
168,2267,2017-02-02,False,Approved
169,456,2017-05-02,False,Approved
170,404,2017-10-16,"",Approved
171,3121,2017-10-22,False,Approved
172,2365,2017-04-11,True,Approved
173,2528,2017-11-16,False,Approved
174,3151,2017-12-17,False,Approved
175,3241,2017-12-23,False,Approved
176,1335,2017-03-30,True,Approved
177,2234,2017-04-13,False,Approved
178,3226,2017-07-25,True,Approved
179,1365,2017-01-31,False,Approved
180,3349,2017-03-18,True,Approved
181,1002,2017-02-24,False,Approved
182,2282,2017-02-18,False,Approved
183,2656,2017-01-07,False,Approved
184,2409,2017-07-05,True,Approved
185,1711,2017-11-19,False,Approved
186,2582,2017-11-08,True,Approved
187,1005,2017-07-24,True,Approved
188,1597,2017-01-15,True,Approved
189,2713,2017-01-12,True,Approved
190,1435,2017-11-27,True,Approved
191,1477,2017-06-30,True,Approved
192,1614,2017-07-15,True,Approved
193,1254,2017-06-22,True,Approved
194,1423,2017-05-02,False,Approved
195,276,2017-12-27,False,Approved
196,1315,2017-12-21,True,Approved
197,591,2017-05-23,True,Approved
198,1017,2017-02-02,False,Approved
199,2123,2017-06-08,False,Approved
200,2889,2017-04-15,True,Approved
201,3208,2017-09-05,True,Approved
202,2406,2017-02-26,True,Approved
203,2041,2017-07-29,False,Approved
204,1598,2017-07-03,True,Approved
205,1842,2017-05-27,True,Approved
206,141,2017-05-05,False,Approved
207,1321,2017-09-09,False,Approved
208,183,2017-05-21,False,Approved
209,2591,2017-09-22,False,Approved
210,3356,2017-04-12,True,Approved
211,766,2017-05-07,True,Approved
212,1596,2017-01-13,False,Approved
213,520,2017-12-14,False,Approved
214,868,2017-03-22,True,Approved
215,2999,2017-09-30,False,Approved
216,352,2017-11-29,True,Approved
217,1140,2017-06-09,False,Approved
218,621,2017-04-21,False,Approved
219,3307,2017-11-13,False,Approved
220,1502,2017-04-09,True,Approved
221,936,2017-05-08,False,Approved
222,939,2017-07-08,True,Approved
223,2698,2017-11-30,False,Approved
224,579,2017-04-25,True,Approved
225,2036,2017-03-30,True,Approved
226,3077,2017-03-10,False,Approved
227,369,2017-03-16,True,Approved
228,821,2017-04-04,True,Approved
229,2687,2017-03-13,True,Approved
230,681,2017-12-23,True,Approved
231,37,2017-08-12,True,Approved
232,3002,2017-08-04,False,Approved
233,396,2017-09-01,False,Approved
234,550,2017-09-01,True,Approved
235,1605,2017-07-02,False,Approved
236,2325,2017-08-31,True,Approved
237,1420,2017-03-11,True,Approved
238,3099,2017-10-08,False,Approved
239,1645,2017-10-01,True,Approved
240,546,2017-11-23,False,Approved
241,2885,2017-03-27,True,Approved
